age,monthly_income,category,amount,payment_method,merchant_type,days_since_last_expense,monthly_expense_count,budget_limit,amount_to_budget_ratio,income_expense_ratio,high_risk_expense
46,61413,Education,4543.0,UPI,Subscription,25,3,20965,0.217,0.074,0
59,22151,Education,1168.85,Net Banking,Education,23,58,13218,0.088,0.0528,0
43,72716,Entertainment,1344.71,Net Banking,Restaurant,22,57,23002,0.058,0.0185,0
52,108747,Shopping,1100.5,Wallet,Online,19,54,17742,0.062,0.0101,0
42,136999,Healthcare,1534.45,Wallet,Subscription,16,52,20444,0.075,0.0112,0
41,129793,Healthcare,2358.7,Cash,Subscription,16,16,25305,0.093,0.0182,0
30,123177,Healthcare,790.31,Wallet,Transport,3,20,27493,0.029,0.0064,0
24,27289,Healthcare,673.45,Net Banking,Utility,4,32,8869,0.076,0.0247,0
53,101365,Travel,392.12,Card,Transport,27,56,12620,0.031,0.0039,0
37,129014,Other,348.74,UPI,Online,22,23,14221,0.025,0.0027,0
18,87588,Entertainment,553.71,Cash,Online,13,17,3115,0.178,0.0063,0
25,78646,Entertainment,1162.78,Card,Transport,19,16,18497,0.063,0.0148,0
33,18654,Bills,1958.18,UPI,Utility,9,38,16129,0.121,0.105,1
31,33743,Shopping,2272.13,UPI,Education,13,8,3340,0.68,0.0673,0
29,63368,Healthcare,1896.37,UPI,Transport,27,19,14551,0.13,0.0299,0
40,134735,Travel,4220.19,Card,Online,0,30,28023,0.151,0.0313,0
32,134891,Shopping,5075.98,Cash,Utility,10,57,2274,2.232,0.0376,1
45,122971,Healthcare,1408.89,Cash,Online,25,58,13762,0.102,0.0115,0
51,27149,Travel,801.18,UPI,Utility,22,34,4371,0.183,0.0295,0
19,115102,Shopping,6046.07,Card,Utility,17,14,8773,0.689,0.0525,1
49,74189,Entertainment,3660.33,UPI,Transport,15,22,17729,0.206,0.0493,0
40,86031,Entertainment,3489.76,Wallet,Transport,28,44,27885,0.125,0.0406,0
39,57668,Other,1127.59,Cash,Transport,26,17,9908,0.114,0.0196,0
42,103204,Food,3027.83,Net Banking,Utility,17,59,29789,0.102,0.0293,0
39,52384,Other,1906.86,UPI,Utility,7,15,3760,0.507,0.0364,0
39,96929,Education,1640.67,Wallet,Online,27,50,3645,0.45,0.0169,0
59,142959,Other,1638.67,Cash,Subscription,9,48,8302,0.197,0.0115,0
23,91153,Healthcare,2431.53,Card,Transport,25,32,2763,0.88,0.0267,1
32,90388,Bills,4306.86,Cash,Restaurant,9,13,27413,0.157,0.0476,0
54,46401,Shopping,6356.82,Card,Online,4,21,25520,0.249,0.137,1
50,134503,Bills,1280.19,Card,Online,9,49,8655,0.148,0.0095,0
25,142834,Food,1982.02,UPI,Local,17,40,1422,1.394,0.0139,1
22,49084,Education,1611.36,UPI,Transport,20,33,7195,0.224,0.0328,0
56,125641,Shopping,2325.13,Cash,Education,23,57,21172,0.11,0.0185,0
21,120111,Travel,1471.02,Wallet,Online,5,58,6258,0.235,0.0122,0
23,51041,Healthcare,1029.24,Cash,Local,2,27,13076,0.079,0.0202,0
49,103920,Education,1281.51,Net Banking,Restaurant,7,35,25015,0.051,0.0123,0
47,80681,Entertainment,1140.29,Card,Restaurant,30,16,19514,0.058,0.0141,0
52,96571,Food,1555.62,Card,Education,29,28,8316,0.187,0.0161,0
57,142556,Education,589.11,UPI,Transport,8,34,26243,0.022,0.0041,0
33,41160,Healthcare,1156.91,Wallet,Utility,4,47,8056,0.144,0.0281,0
30,32633,Other,2309.92,UPI,Local,28,1,16725,0.138,0.0708,0
59,32014,Education,2298.49,Net Banking,Utility,1,41,29039,0.079,0.0718,0
47,95532,Other,2060.1,Cash,Restaurant,1,48,6430,0.32,0.0216,0
36,64104,Healthcare,4072.3,Cash,Restaurant,6,31,12133,0.336,0.0635,0
34,92231,Entertainment,2371.46,Wallet,Subscription,16,36,23884,0.099,0.0257,0
36,83388,Shopping,3988.59,UPI,Subscription,9,44,4012,0.994,0.0478,1
45,31014,Travel,6359.75,UPI,Education,11,33,6566,0.969,0.2051,1
43,107578,Entertainment,3077.45,Net Banking,Subscription,1,33,25971,0.118,0.0286,0
54,55390,Other,591.61,Cash,Subscription,9,39,13707,0.043,0.0107,0
43,38711,Other,2116.25,UPI,Education,19,18,20606,0.103,0.0547,0
40,106658,Travel,1909.39,Wallet,Online,0,23,14822,0.129,0.0179,0
26,72993,Shopping,4538.37,Cash,Subscription,3,23,22532,0.201,0.0622,0
29,22421,Education,1596.58,Net Banking,Online,12,15,2560,0.624,0.0712,0
18,32727,Travel,921.85,Wallet,Online,11,26,14513,0.064,0.0282,0
18,127418,Food,1208.46,Card,Transport,10,30,19918,0.061,0.0095,0
51,19358,Food,611.01,Net Banking,Online,28,25,2887,0.212,0.0316,0
49,80108,Healthcare,89.01,Wallet,Online,9,45,23892,0.004,0.0011,0
42,109018,Entertainment,5729.92,UPI,Subscription,14,16,26973,0.212,0.0526,1
57,139457,Other,1753.25,Card,Online,4,39,8531,0.206,0.0126,0
18,46910,Shopping,661.88,Net Banking,Utility,24,48,2299,0.288,0.0141,0
33,141888,Healthcare,4796.72,UPI,Education,16,45,21291,0.225,0.0338,0
56,70754,Entertainment,5309.51,Card,Subscription,27,14,3280,1.619,0.075,1
22,124847,Entertainment,1954.89,Cash,Education,4,17,1627,1.202,0.0157,1
39,53467,Healthcare,564.09,UPI,Local,1,12,25414,0.022,0.0106,0
46,48893,Bills,1230.77,Wallet,Subscription,8,29,7865,0.156,0.0252,0
20,91329,Entertainment,1475.22,Net Banking,Online,5,32,15135,0.097,0.0162,0
29,46007,Bills,1795.08,Card,Utility,17,56,8111,0.221,0.039,0
43,69253,Food,734.2,UPI,Education,13,24,13146,0.056,0.0106,0
33,27323,Food,3242.0,Cash,Subscription,18,52,8035,0.403,0.1187,1
54,126335,Entertainment,243.18,Net Banking,Utility,13,13,15004,0.016,0.0019,0
39,127356,Food,3585.18,Net Banking,Education,7,56,9864,0.363,0.0282,0
46,125944,Shopping,4076.3,UPI,Local,16,20,3308,1.232,0.0324,1
31,31456,Bills,1323.73,Cash,Restaurant,27,15,13555,0.098,0.0421,0
45,46367,Bills,1652.31,Card,Local,2,56,28105,0.059,0.0356,0
22,69624,Entertainment,4401.44,UPI,Restaurant,28,53,27165,0.162,0.0632,0
47,83008,Food,2687.43,Card,Transport,9,4,4797,0.56,0.0324,0
22,140926,Travel,1359.12,Net Banking,Restaurant,16,54,11709,0.116,0.0096,0
29,130395,Other,1480.96,Card,Transport,26,34,21443,0.069,0.0114,0
33,131492,Healthcare,2440.71,Cash,Subscription,10,28,948,2.575,0.0186,1
43,87240,Healthcare,5409.78,Wallet,Transport,7,50,5508,0.982,0.062,1
43,79315,Bills,1514.71,Cash,Utility,0,2,21777,0.07,0.0191,0
38,25756,Entertainment,1328.48,Card,Transport,12,57,17677,0.075,0.0516,0
56,51378,Entertainment,1786.22,UPI,Utility,20,47,17320,0.103,0.0348,0
53,140703,Shopping,1793.74,Net Banking,Education,3,30,6512,0.275,0.0127,0
50,71549,Education,2159.26,Wallet,Education,6,26,22753,0.095,0.0302,0
47,88794,Other,1656.1,UPI,Restaurant,13,51,29702,0.056,0.0187,0
54,60113,Education,3722.68,UPI,Restaurant,4,47,29736,0.125,0.0619,0
40,89069,Bills,866.06,Cash,Restaurant,23,26,2120,0.409,0.0097,0
27,140541,Healthcare,2323.32,Card,Transport,27,20,14084,0.165,0.0165,0
22,24686,Shopping,2385.04,Cash,Restaurant,29,42,28577,0.083,0.0966,1
53,68363,Shopping,929.34,Card,Transport,10,28,27995,0.033,0.0136,0
51,112543,Shopping,2307.75,Cash,Transport,16,56,21192,0.109,0.0205,0
48,146733,Bills,2427.12,UPI,Online,4,20,1448,1.676,0.0165,1
27,110673,Education,150.97,Net Banking,Online,19,11,20828,0.007,0.0014,0
36,57828,Healthcare,800.37,Card,Transport,2,58,9819,0.082,0.0138,0
49,63604,Shopping,4635.03,Wallet,Education,4,10,17075,0.271,0.0729,0
18,25526,Healthcare,1111.36,Wallet,Utility,25,23,12704,0.087,0.0435,0
22,83910,Food,660.49,UPI,Subscription,14,37,12452,0.053,0.0079,0
21,40592,Entertainment,334.29,Cash,Local,18,41,28806,0.012,0.0082,0
33,43982,Entertainment,740.5,Cash,Online,15,52,18287,0.04,0.0168,0
41,15207,Healthcare,1606.0,UPI,Transport,7,19,18874,0.085,0.1056,1
33,103733,Travel,620.58,Wallet,Local,12,45,1604,0.387,0.006,0
19,139982,Travel,2710.78,Wallet,Online,15,18,29876,0.091,0.0194,0
45,83619,Bills,915.96,Cash,Subscription,2,49,1048,0.874,0.011,1
49,61479,Bills,2170.55,Card,Utility,0,27,12140,0.179,0.0353,0
44,96437,Entertainment,4220.36,Net Banking,Transport,8,6,26937,0.157,0.0438,0
37,113540,Food,4054.64,Card,Subscription,30,10,29325,0.138,0.0357,0
41,87982,Other,2145.2,Wallet,Education,8,2,22645,0.095,0.0244,0
29,117747,Education,700.34,Card,Online,21,24,25646,0.027,0.0059,0
52,63231,Education,1686.33,Net Banking,Transport,25,38,8403,0.201,0.0267,0
50,44301,Bills,2193.41,Card,Local,16,28,18668,0.117,0.0495,0
50,33752,Food,7097.19,Card,Education,23,28,27363,0.259,0.2103,1
54,113452,Bills,331.14,Card,Education,1,53,11113,0.03,0.0029,0
29,136237,Other,1690.62,Card,Restaurant,8,45,29048,0.058,0.0124,0
20,71273,Education,2647.13,UPI,Utility,29,50,17688,0.15,0.0371,0
18,106878,Healthcare,1885.93,Wallet,Education,23,39,9490,0.199,0.0176,0
50,19895,Bills,2032.81,Net Banking,Online,18,2,11967,0.17,0.1022,1
57,134968,Shopping,960.69,Wallet,Utility,12,46,25686,0.037,0.0071,0
27,130700,Healthcare,3205.49,UPI,Transport,4,5,24401,0.131,0.0245,0
46,91559,Other,1794.33,UPI,Restaurant,8,50,23715,0.076,0.0196,0
30,25699,Other,2027.71,UPI,Subscription,12,11,23801,0.085,0.0789,0
29,24715,Bills,3427.52,UPI,Utility,0,10,26882,0.128,0.1387,1
48,34169,Entertainment,1390.11,Card,Local,24,43,4738,0.293,0.0407,0
19,133413,Bills,3914.75,Wallet,Online,14,59,20144,0.194,0.0293,0
52,134264,Entertainment,602.22,Cash,Local,3,2,4867,0.124,0.0045,0
40,20782,Other,2108.13,Net Banking,Utility,3,15,6151,0.343,0.1014,1
34,139481,Food,913.61,UPI,Restaurant,30,39,16704,0.055,0.0066,0
43,50585,Other,730.4,Wallet,Subscription,19,41,20255,0.036,0.0144,0
25,45682,Education,5370.47,UPI,Subscription,9,37,27549,0.195,0.1176,1
46,144992,Healthcare,630.31,UPI,Local,27,7,2593,0.243,0.0043,0
43,99416,Healthcare,1819.15,UPI,Transport,24,20,27218,0.067,0.0183,0
27,142810,Travel,588.61,UPI,Transport,29,34,4501,0.131,0.0041,0
43,53067,Travel,3761.68,UPI,Restaurant,5,35,23440,0.16,0.0709,0
51,33073,Other,1288.36,Net Banking,Subscription,26,34,8310,0.155,0.039,0
58,51035,Education,3415.9,Wallet,Local,23,53,11772,0.29,0.0669,0
24,105373,Travel,2587.72,UPI,Local,11,22,5054,0.512,0.0246,0
21,98362,Healthcare,6452.91,UPI,Local,29,31,26508,0.243,0.0656,1
28,105517,Bills,488.45,UPI,Utility,19,23,19401,0.025,0.0046,0
46,80450,Food,794.84,UPI,Restaurant,15,19,27933,0.028,0.0099,0
53,25382,Food,3297.62,Card,Transport,2,4,9197,0.359,0.1299,1
42,76929,Education,2178.16,Card,Transport,13,24,22689,0.096,0.0283,0
38,113864,Other,1465.52,Cash,Utility,0,20,17980,0.082,0.0129,0
53,40169,Travel,5721.17,UPI,Online,9,39,12871,0.445,0.1424,1
27,102468,Bills,1730.84,Cash,Utility,30,28,29230,0.059,0.0169,0
54,49594,Food,941.95,Net Banking,Restaurant,14,54,9736,0.097,0.019,0
26,60033,Food,3442.56,Cash,Local,6,39,14269,0.241,0.0573,0
41,78133,Shopping,1772.19,Wallet,Utility,3,17,7561,0.234,0.0227,0
52,88861,Other,1870.7,Card,Local,13,19,19088,0.098,0.0211,0
52,46750,Shopping,2734.09,Card,Restaurant,23,54,4402,0.621,0.0585,0
53,55461,Healthcare,2804.92,UPI,Education,15,48,1852,1.515,0.0506,1
35,93222,Food,785.99,UPI,Restaurant,13,35,2096,0.375,0.0084,0
56,127020,Education,1404.26,Net Banking,Subscription,2,32,9267,0.152,0.0111,0
49,39226,Entertainment,544.18,Net Banking,Local,16,47,23864,0.023,0.0139,0
41,21721,Entertainment,2200.31,Wallet,Transport,20,46,1179,1.866,0.1013,1
40,35609,Bills,5310.77,UPI,Utility,13,47,29374,0.181,0.1491,1
49,145513,Food,813.21,UPI,Education,17,46,20596,0.039,0.0056,0
54,119211,Food,457.4,Net Banking,Restaurant,2,39,12520,0.037,0.0038,0
29,139865,Healthcare,1065.88,Net Banking,Local,29,57,26205,0.041,0.0076,0
30,89520,Food,1456.23,Net Banking,Education,21,35,12596,0.116,0.0163,0
40,79309,Education,2821.27,Card,Online,18,30,11885,0.237,0.0356,0
42,44984,Shopping,1346.55,Cash,Subscription,2,17,9009,0.149,0.0299,0
52,133947,Food,2227.36,Cash,Online,11,42,22185,0.1,0.0166,0
58,20901,Food,1190.04,UPI,Restaurant,21,47,6234,0.191,0.0569,0
47,46055,Healthcare,1515.36,Card,Online,4,29,16175,0.094,0.0329,0
34,129099,Other,917.07,Net Banking,Online,9,6,24865,0.037,0.0071,0
37,26138,Travel,698.73,UPI,Subscription,8,17,22776,0.031,0.0267,0
42,38429,Other,2888.22,Card,Subscription,0,17,20580,0.14,0.0752,0
39,65200,Healthcare,1253.68,Wallet,Subscription,12,14,13193,0.095,0.0192,0
30,116268,Other,2338.4,Card,Education,2,24,24013,0.097,0.0201,0
36,32347,Healthcare,905.53,UPI,Subscription,18,57,19880,0.046,0.028,0
53,46822,Education,1738.84,Cash,Online,10,50,24121,0.072,0.0371,0
29,55108,Bills,248.8,Net Banking,Transport,15,57,24211,0.01,0.0045,0
58,143955,Food,1325.03,Wallet,Transport,5,37,7907,0.168,0.0092,0
36,22967,Healthcare,984.34,Card,Subscription,23,40,12286,0.08,0.0429,0
29,125719,Healthcare,3664.81,UPI,Education,2,39,28285,0.13,0.0292,0
26,26871,Travel,609.4,UPI,Utility,18,55,3042,0.2,0.0227,0
24,43179,Healthcare,1561.2,Net Banking,Local,5,32,17562,0.089,0.0362,0
45,70099,Entertainment,2181.82,UPI,Restaurant,7,36,5866,0.372,0.0311,0
31,50262,Bills,3340.41,UPI,Education,21,50,26965,0.124,0.0665,0
48,93213,Food,3047.1,Net Banking,Utility,12,37,22527,0.135,0.0327,0
36,132407,Food,1651.71,Wallet,Restaurant,11,48,7910,0.209,0.0125,0
33,101269,Travel,1821.21,Cash,Utility,29,14,10335,0.176,0.018,0
22,75545,Education,3662.71,Cash,Utility,9,27,14147,0.259,0.0485,0
52,54922,Food,1629.15,Card,Transport,2,59,6041,0.27,0.0297,0
29,57913,Entertainment,1959.45,Wallet,Local,3,19,17718,0.111,0.0338,0
42,112033,Food,3740.09,Card,Utility,0,31,10933,0.342,0.0334,0
38,119792,Entertainment,7013.2,Cash,Subscription,12,46,11047,0.635,0.0585,1
53,134863,Bills,2077.06,Net Banking,Restaurant,23,9,10360,0.2,0.0154,0
40,59936,Bills,2474.88,UPI,Education,3,38,22910,0.108,0.0413,0
33,43141,Shopping,2988.08,Cash,Transport,21,17,11245,0.266,0.0693,0
56,112359,Shopping,3717.24,Wallet,Restaurant,10,19,25356,0.147,0.0331,0
59,138279,Entertainment,3394.43,Cash,Subscription,18,44,24854,0.137,0.0245,0
56,56568,Education,1120.47,Wallet,Subscription,10,4,7318,0.153,0.0198,0
31,112539,Food,2173.07,Wallet,Utility,11,48,14601,0.149,0.0193,0
48,61851,Healthcare,3409.63,Wallet,Subscription,10,57,5528,0.617,0.0551,0
22,69823,Food,4224.0,Card,Local,5,11,16298,0.259,0.0605,0
52,38312,Shopping,1563.23,Net Banking,Subscription,11,22,11454,0.136,0.0408,0
40,113723,Other,2137.35,Cash,Utility,26,4,21587,0.099,0.0188,0
46,27411,Healthcare,2307.26,Net Banking,Restaurant,8,17,13270,0.174,0.0842,1
28,72009,Entertainment,1778.97,UPI,Subscription,24,8,9938,0.179,0.0247,0
35,47371,Healthcare,2099.77,Cash,Transport,9,46,18656,0.113,0.0443,0
29,72022,Other,9705.31,Net Banking,Education,2,59,19048,0.51,0.1348,1
26,86229,Food,1516.62,Net Banking,Transport,2,34,7611,0.199,0.0176,0
27,114071,Food,1602.61,UPI,Transport,19,11,25267,0.063,0.014,0
34,111774,Education,413.54,Wallet,Restaurant,27,31,19719,0.021,0.0037,0
55,41715,Travel,351.67,Cash,Online,22,11,19549,0.018,0.0084,0
24,42605,Healthcare,2418.03,Cash,Education,15,56,6613,0.366,0.0568,0
30,114853,Shopping,3418.62,UPI,Transport,2,54,3063,1.116,0.0298,1
57,46174,Other,3021.31,Wallet,Transport,9,56,16389,0.184,0.0654,0
59,91373,Other,903.53,Cash,Online,23,38,8998,0.1,0.0099,0
26,84252,Other,2906.23,Cash,Restaurant,10,53,8631,0.337,0.0345,0
44,85017,Shopping,1584.34,Cash,Education,7,21,25607,0.062,0.0186,0
19,78037,Travel,1314.28,Wallet,Transport,5,46,29293,0.045,0.0168,0
22,104818,Food,557.8,UPI,Utility,19,30,3196,0.175,0.0053,0
46,21548,Education,995.53,Cash,Restaurant,10,10,21571,0.046,0.0462,0
54,131981,Education,2455.96,Net Banking,Education,27,26,24205,0.101,0.0186,0
55,39022,Shopping,2157.4,Wallet,Transport,26,27,23897,0.09,0.0553,0
36,121297,Education,1945.24,Card,Transport,20,8,8204,0.237,0.016,0
25,75428,Other,223.15,UPI,Online,11,39,22455,0.01,0.003,0
18,74353,Bills,1959.16,Net Banking,Education,15,8,24220,0.081,0.0263,0
39,128132,Travel,1107.61,Cash,Utility,17,8,16942,0.065,0.0086,0
34,31052,Food,2168.04,Card,Restaurant,12,55,10265,0.211,0.0698,0
24,115689,Bills,3789.4,UPI,Subscription,21,34,18024,0.21,0.0328,0
42,146743,Travel,1236.92,Wallet,Local,2,59,10502,0.118,0.0084,0
21,15163,Entertainment,1860.43,Card,Utility,14,16,11890,0.156,0.1227,1
53,56424,Healthcare,5699.79,Card,Subscription,21,41,12168,0.468,0.101,1
23,37420,Shopping,2094.65,Net Banking,Utility,27,13,29570,0.071,0.056,0
48,135575,Other,1702.75,UPI,Education,20,23,19446,0.088,0.0126,0
36,44300,Education,915.48,Net Banking,Subscription,13,12,19736,0.046,0.0207,0
56,104881,Entertainment,2959.28,Net Banking,Education,17,27,16744,0.177,0.0282,0
44,25749,Education,793.42,Cash,Subscription,30,22,7141,0.111,0.0308,0
27,119131,Bills,3896.61,Wallet,Utility,27,32,1441,2.704,0.0327,1
43,143563,Food,2687.06,Card,Online,28,57,13315,0.202,0.0187,0
36,52487,Food,1137.7,UPI,Utility,13,49,7041,0.162,0.0217,0
56,36223,Food,940.21,Wallet,Education,4,27,16124,0.058,0.026,0
20,87930,Other,958.29,Wallet,Utility,20,2,10466,0.092,0.0109,0
30,43380,Education,357.7,UPI,Subscription,13,45,24314,0.015,0.0082,0
45,41035,Entertainment,2379.09,Wallet,Local,24,33,1921,1.238,0.058,1
37,45620,Food,252.05,Cash,Subscription,26,26,6265,0.04,0.0055,0
45,132360,Entertainment,1626.37,Wallet,Transport,7,28,17319,0.094,0.0123,0
25,68352,Education,1551.86,Cash,Utility,27,19,17723,0.088,0.0227,0
58,18191,Other,1359.45,Card,Restaurant,27,43,4501,0.302,0.0747,0
56,105536,Bills,2368.14,Card,Utility,22,5,13147,0.18,0.0224,0
18,119576,Other,1139.88,Net Banking,Online,30,33,5748,0.198,0.0095,0
20,18631,Entertainment,1962.62,Cash,Education,14,20,5459,0.36,0.1053,1
30,57080,Other,3896.12,Card,Restaurant,27,30,27757,0.14,0.0683,0
45,105353,Other,2558.76,Wallet,Subscription,28,45,18534,0.138,0.0243,0
42,43671,Bills,1272.2,UPI,Online,14,8,22712,0.056,0.0291,0
50,137811,Education,1739.71,UPI,Utility,29,38,26321,0.066,0.0126,0
55,142734,Education,1360.58,Cash,Subscription,18,17,19145,0.071,0.0095,0
23,66399,Shopping,1535.92,Net Banking,Subscription,25,44,25991,0.059,0.0231,0
49,22099,Other,2004.53,Wallet,Transport,19,1,27715,0.072,0.0907,1
38,71492,Education,535.7,Cash,Transport,5,3,22778,0.024,0.0075,0
33,111722,Education,430.53,UPI,Local,18,46,23162,0.019,0.0039,0
38,45111,Travel,853.96,Cash,Transport,26,26,4389,0.195,0.0189,0
28,78936,Food,2444.0,Wallet,Education,24,31,23781,0.103,0.031,0
54,75920,Shopping,2670.93,Card,Restaurant,7,8,29557,0.09,0.0352,0
53,78530,Healthcare,2937.21,Wallet,Subscription,5,43,1826,1.609,0.0374,1
52,22788,Shopping,881.57,Card,Transport,19,59,6401,0.138,0.0387,0
36,43082,Shopping,1852.98,Card,Local,22,46,3858,0.48,0.043,0
37,138287,Healthcare,1301.87,Card,Utility,28,8,2085,0.624,0.0094,0
35,104570,Travel,1582.41,Cash,Restaurant,14,35,14000,0.113,0.0151,0
58,116015,Other,1284.69,UPI,Transport,26,39,12060,0.107,0.0111,0
31,98588,Bills,2083.37,Cash,Subscription,2,28,22529,0.092,0.0211,0
32,103340,Education,1033.38,UPI,Utility,9,51,17272,0.06,0.01,0
48,109439,Food,3621.91,Wallet,Education,14,4,16318,0.222,0.0331,0
18,130053,Entertainment,3642.63,Net Banking,Subscription,23,57,19675,0.185,0.028,0
20,63355,Other,2393.44,Wallet,Utility,15,16,3832,0.625,0.0378,0
33,140426,Healthcare,3353.19,Cash,Education,16,13,17587,0.191,0.0239,0
40,79027,Bills,517.42,Cash,Education,18,20,22718,0.023,0.0065,0
28,107601,Other,3757.65,UPI,Restaurant,10,51,3320,1.132,0.0349,1
29,44956,Healthcare,2241.58,Cash,Subscription,15,5,15972,0.14,0.0499,0
27,119797,Education,1082.17,Card,Transport,4,55,24937,0.043,0.009,0
49,139917,Travel,999.64,Cash,Transport,4,37,5459,0.183,0.0071,0
33,141303,Other,4586.25,UPI,Local,25,20,17943,0.256,0.0325,0
25,57533,Healthcare,2968.07,UPI,Utility,13,24,12866,0.231,0.0516,0
55,93815,Education,1552.29,Card,Local,17,36,26374,0.059,0.0165,0
29,54279,Education,512.11,UPI,Online,25,34,1801,0.284,0.0094,0
41,124787,Travel,3880.73,Net Banking,Transport,7,58,25749,0.151,0.0311,0
45,76063,Shopping,703.23,Wallet,Utility,4,45,11051,0.064,0.0092,0
25,142896,Other,1319.45,Cash,Restaurant,6,48,24580,0.054,0.0092,0
45,112661,Other,1550.74,Net Banking,Local,30,54,21183,0.073,0.0138,0
53,138257,Shopping,987.75,Cash,Restaurant,15,34,22955,0.043,0.0071,0
43,101205,Food,1501.01,Net Banking,Restaurant,22,19,4612,0.325,0.0148,0
25,21910,Food,1721.35,Cash,Restaurant,13,17,24765,0.07,0.0786,0
45,61857,Shopping,1478.58,Card,Local,4,5,13263,0.111,0.0239,0
45,49964,Bills,2154.32,UPI,Online,23,25,12274,0.176,0.0431,0
54,32153,Entertainment,4694.0,UPI,Education,8,18,26092,0.18,0.146,1
58,74765,Education,534.8,Card,Education,3,55,25285,0.021,0.0072,0
53,123212,Entertainment,1931.55,Net Banking,Local,3,53,17382,0.111,0.0157,0
44,54071,Education,709.66,Wallet,Education,15,50,9120,0.078,0.0131,0
34,127990,Shopping,489.72,Net Banking,Subscription,23,8,7745,0.063,0.0038,0
26,84519,Food,3189.85,UPI,Education,16,27,12331,0.259,0.0377,0
50,24503,Bills,2046.87,Wallet,Transport,14,15,28227,0.073,0.0835,1
37,110457,Food,462.25,Cash,Local,3,45,2605,0.177,0.0042,0
30,60838,Entertainment,1500.02,Wallet,Education,5,13,10245,0.146,0.0247,0
45,140200,Food,855.82,Net Banking,Local,15,16,22211,0.039,0.0061,0
46,104489,Shopping,1538.43,Card,Online,28,22,6130,0.251,0.0147,0
30,41806,Bills,2734.09,Cash,Subscription,3,20,3706,0.738,0.0654,0
52,85119,Entertainment,2552.99,Net Banking,Local,5,13,24021,0.106,0.03,0
23,53714,Bills,1291.55,Cash,Transport,4,20,19453,0.066,0.024,0
35,70419,Other,3287.14,Wallet,Education,15,2,3128,1.051,0.0467,1
22,120432,Education,4091.97,UPI,Transport,29,35,10568,0.387,0.034,0
42,107949,Food,2763.93,Net Banking,Education,24,47,13894,0.199,0.0256,0
19,148533,Bills,1134.76,Card,Local,15,55,23648,0.048,0.0076,0
27,91971,Travel,1575.09,Wallet,Restaurant,9,19,1567,1.005,0.0171,1
47,108471,Other,4600.57,Net Banking,Education,8,45,18390,0.25,0.0424,0
22,79946,Food,1364.32,Card,Restaurant,3,37,19897,0.069,0.0171,0
50,113989,Education,2558.34,Net Banking,Subscription,28,58,15745,0.162,0.0224,0
18,99080,Bills,977.13,Wallet,Transport,13,54,10359,0.094,0.0099,0
35,92794,Entertainment,3302.09,Net Banking,Restaurant,3,6,29664,0.111,0.0356,0
49,45841,Education,890.49,Cash,Transport,11,14,7142,0.125,0.0194,0
28,139447,Travel,1624.76,Wallet,Education,23,4,15877,0.102,0.0117,0
38,135029,Bills,2498.45,Net Banking,Education,9,22,29776,0.084,0.0185,0
43,91272,Healthcare,5200.32,UPI,Subscription,30,51,4566,1.139,0.057,1
42,52643,Healthcare,2021.09,Net Banking,Education,3,55,1447,1.397,0.0384,1
39,58950,Shopping,1427.28,Cash,Subscription,17,39,21273,0.067,0.0242,0
44,115500,Food,1349.39,Card,Restaurant,12,36,25027,0.054,0.0117,0
30,140588,Entertainment,3209.09,Card,Education,12,34,1671,1.92,0.0228,1
50,30997,Shopping,2365.27,Card,Local,13,27,16331,0.145,0.0763,0
51,94751,Bills,2698.41,UPI,Utility,30,7,6614,0.408,0.0285,0
58,113605,Healthcare,4396.43,Cash,Online,17,3,671,6.552,0.0387,1
52,70533,Healthcare,1804.97,Wallet,Utility,0,47,22566,0.08,0.0256,0
18,97566,Healthcare,2254.15,Card,Utility,20,33,13318,0.169,0.0231,0
38,123255,Bills,1335.91,Cash,Transport,15,2,9835,0.136,0.0108,0
23,73005,Healthcare,947.83,Net Banking,Subscription,14,42,10551,0.09,0.013,0
45,58541,Education,1097.66,UPI,Transport,21,16,22740,0.048,0.0188,0
34,38387,Other,171.67,Cash,Restaurant,24,25,6709,0.026,0.0045,0
22,108980,Bills,2481.59,Cash,Online,4,15,10880,0.228,0.0228,0
48,100457,Entertainment,2313.43,Wallet,Restaurant,28,24,27569,0.084,0.023,0
22,79028,Other,2446.62,Cash,Local,5,15,4077,0.6,0.031,0
55,134246,Shopping,898.78,Wallet,Online,5,31,8880,0.101,0.0067,0
20,70731,Entertainment,1112.38,UPI,Transport,2,14,4576,0.243,0.0157,0
40,59638,Other,1084.78,UPI,Education,15,54,657,1.651,0.0182,1
54,35567,Travel,3511.48,Net Banking,Education,11,14,8277,0.424,0.0987,1
54,72804,Healthcare,1969.81,Wallet,Transport,3,6,19601,0.1,0.0271,0
27,123821,Travel,1791.36,Wallet,Restaurant,0,14,27046,0.066,0.0145,0
27,18754,Food,2863.81,Card,Transport,3,17,8937,0.32,0.1527,1
36,42044,Food,1087.6,Card,Transport,0,18,11595,0.094,0.0259,0
34,82260,Other,2217.22,Net Banking,Utility,30,20,15779,0.141,0.027,0
38,81912,Travel,5626.14,UPI,Local,20,51,19679,0.286,0.0687,1
31,23706,Bills,3869.2,Card,Education,26,17,7700,0.502,0.1632,1
26,23894,Entertainment,2194.64,Cash,Utility,26,16,24412,0.09,0.0918,1
18,98986,Travel,1838.88,UPI,Transport,7,40,28900,0.064,0.0186,0
